01/06/2018 22:00:00: 6385,1
01/06/2018 22:05:00: 6382,7
01/06/2018 22:10:00: 6378,2
01/06/2018 22:15:00: 6359,1
01/06/2018 22:20:00: 6358,7
01/06/2018 22:25:00: 6362,8
01/06/2018 22:30:00: 6379,4
01/06/2018 22:35:00: 6379,1
01/06/2018 22:40:00: 6376
01/06/2018 22:45:00: 6375
01/06/2018 22:50:00: 6374,9
01/06/2018 22:55:00: 6374,9
01/06/2018 23:00:00: 6375
01/06/2018 23:05:00: 6379
01/06/2018 23:10:00: 6380,8
01/06/2018 23:15:00: 6380,5
01/06/2018 23:20:00: 6384,7
01/06/2018 23:25:00: 6378,7
01/06/2018 23:30:00: 6381
01/06/2018 23:35:00: 6386,8
01/06/2018 23:40:00: 6388,2
01/06/2018 23:45:00: 6385,6
01/06/2018 23:50:00: 6384,1
08/06/2018 11:15:00: 6488,4
08/06/2018 11:20:00: 6490
08/06/2018 11:25:00: 6490
08/06/2018 11:30:00: 6489,1
08/06/2018 11:35:00: 6488,9
08/06/2018 11:40:00: 6490
08/06/2018 11:45:00: 6488,1
08/06/2018 11:50:00: 6487,8
08/06/2018 11:55:00: 6487,7
08/06/2018 12:00:00: 6486,9
08/06/2018 12:05:00: 6484,8
08/06/2018 12:10:00: 6482,3
08/06/2018 12:15:00: 6478
08/06/2018 12:20:00: 6455,4
08/06/2018 12:25:00: 6455,6
08/06/2018 12:30:00: 6455
08/06/2018 12:35:00: 6442,3
08/06/2018 12:40:00: 6450,2
08/06/2018 12:45:00: 6448,8
08/06/2018 12:50:00: 6450,3
